"Time"	YKL112W	YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C
250	0.7540849	0.9510605	0.9997550	0.9994171	0.2944477	0.0461537	0.0236197	0.0245776	0.8308453	0.9999984
300	0.7525837	0.9510723	0.9997550	0.9997953	0.2944589	0.0460370	0.0236167	0.0232570	0.8307863	0.9999987
350	0.7519855	0.9510754	0.9997549	0.9999175	0.2944599	0.0460042	0.0236161	0.0227631	0.8307597	0.9999988
400	0.7517471	0.9510762	0.9997549	0.9999570	0.2944597	0.0459951	0.0236159	0.0225788	0.8307481	0.9999988
450	0.7516521	0.9510764	0.9997549	0.9999699	0.2944596	0.0459927	0.0236158	0.0225102	0.8307432	0.9999988
500	0.7516143	0.9510764	0.9997549	0.9999742	0.2944595	0.0459920	0.0236158	0.0224848	0.8307412	0.9999988
550	0.9010237	0.9404095	0.9996964	0.9994551	0.0756466	0.0459929	0.0238293	0.1982460	0.8308957	0.9999988
600	0.9605601	0.9376923	0.9996794	0.9938437	0.0399338	0.0460793	0.0285643	0.2644796	0.8313114	0.9999986
650	0.9842841	0.9370001	0.9996747	0.9827783	0.0388879	0.0467626	0.0402164	0.2893579	0.8316890	0.9999970
700	0.9937375	0.9368236	0.9996736	0.9723575	0.0429843	0.0486185	0.0508841	0.2986431	0.8319287	0.9999905
750	0.9975045	0.9367782	0.9996735	0.9654879	0.0460410	0.0512132	0.0570607	0.3020775	0.8320561	0.9999777
800	0.9990056	0.9367658	0.9996736	0.9617535	0.0476354	0.0535131	0.0599379	0.3033340	0.8321166	0.9999635
850	0.9996038	0.9367617	0.9996737	0.9599439	0.0483515	0.0550256	0.0611412	0.3037882	0.8321428	0.9999529
900	0.9998421	0.9367599	0.9996737	0.9591300	0.0486484	0.0558474	0.0616162	0.3039505	0.8321532	0.9999468
950	0.9999371	0.9367589	0.9996737	0.9587823	0.0487656	0.0562420	0.0617975	0.3040078	0.8321570	0.9999437
1000	0.9999749	0.9367584	0.9996737	0.9586393	0.0488104	0.0564165	0.0618651	0.3040279	0.8321583	0.9999424
